,Name,Region,Location,QS Rank,QS Score,No staffs,No internat staffs,No students,No internat students
39,"University of California, San Diego (UCSD)",North America,United States,38,80.8,3694,870,32237,6644
40,Fudan University,Asia,China,40,80.6,4037,1178,29135,4680
41,KAIST - Korea Advanced Institute of Science & Technology,Asia,South Korea,41,80.4,1250,147,9826,584
42,The University of Melbourne,Oceania,Australia,41,80.4,3311,1477,42182,18030
43,"Ecole normale supérieure, Paris",Europe,France,43,79.9,178,75,1907,374
44,University of Bristol,Europe,United Kingdom,44,79.5,2870,942,20630,5099
45,The University of New South Wales (UNSW Sydney),Oceania,Australia,45,78.9,2924,1612,39784,14292
46,The Chinese University of Hong Kong (CUHK),Asia,Hong Kong,46,78.8,2208,1074,18037,4824
47,The University of Queensland,Oceania,Australia,47,78.6,3158,1870,37497,10420
48,Carnegie Mellon University,North America,United States,47,78.6,1342,425,13356,6385
49,City University of Hong Kong,Asia,Hong Kong,49,78.4,1349,1027,9240,3273
50,The University of Sydney,Oceania,Australia,50,78.0,3360,1829,46678,17030
51,University of British Columbia,North America,Canada,51,77.9,4648,1635,50350,11388
52,New York University (NYU),North America,United States,52,77.3,-1,-1,-1,-1
53,Brown University,North America,United States,53,76.5,1303,379,9251,1825
54,Delft University of Technology,Europe,Netherlands,54,76.1,1669,701,16527,4634
55,University of Wisconsin-Madison,North America,United States,55,75.8,5722,1151,38985,4920
56,Tokyo Institute of Technology,Asia,Japan,56,74.8,1563,191,9832,1071
57,The University of Warwick,Europe,United Kingdom,57,74.4,2093,890,19855,7703
58,University of Amsterdam,Europe,Netherlands,58,74.3,2600,707,25967,3785
59,Ecole Polytechnique,Europe,France,59,74.0,649,259,3126,924
60,Monash University,Oceania,Australia,60,73.1,3204,1679,57433,20578
61,University of Washington,North America,United States,61,72.9,2484,550,56973,8373
62,Shanghai Jiao Tong University,Asia,China,62,72.5,3544,887,38931,2858
63,Osaka University,Asia,Japan,63,72.1,2814,296,22760,2106
64,Technical University of Munich,Europe,Germany,64,72.0,5850,1174,38726,6181
65,University of Glasgow,Europe,United Kingdom,65,71.6,2775,956,23815,8149
